states,solutions,paths,times,num_nodes_generated
<environments.cube2.Cube2State object at 0x7f72adb754b0>,"[9, 0, 7, 10, 3, 7, 5, 10, 1, 8, 2, 9]","[<environments.cube2.Cube2State object at 0x7f72adb754b0>, <environments.cube2.Cube2State object at 0x7f72ada1d5a0>, <environments.cube2.Cube2State object at 0x7f72ada1d6e0>, <environments.cube2.Cube2State object at 0x7f72ada1d820>, <environments.cube2.Cube2State object at 0x7f72ada1d960>, <environments.cube2.Cube2State object at 0x7f72ada1daa0>, <environments.cube2.Cube2State object at 0x7f72ada1dbe0>, <environments.cube2.Cube2State object at 0x7f72ada1dd20>, <environments.cube2.Cube2State object at 0x7f72ada1de60>, <environments.cube2.Cube2State object at 0x7f72ada1dfa0>, <environments.cube2.Cube2State object at 0x7f72ada1e140>, <environments.cube2.Cube2State object at 0x7f72ada1e280>, <environments.cube2.Cube2State object at 0x7f72ada1e3c0>]",31.47874355316162,1051092
<environments.cube2.Cube2State object at 0x7f72adb75550>,"[0, 11, 9, 5, 8, 3, 7, 3, 5, 8]","[<environments.cube2.Cube2State object at 0x7f72adb75550>, <environments.cube2.Cube2State object at 0x7f72ada1e550>, <environments.cube2.Cube2State object at 0x7f72ada1e690>, <environments.cube2.Cube2State object at 0x7f72ada1e7d0>, <environments.cube2.Cube2State object at 0x7f72ada1e910>, <environments.cube2.Cube2State object at 0x7f72ada1ea50>, <environments.cube2.Cube2State object at 0x7f72ada1eb90>, <environments.cube2.Cube2State object at 0x7f72ada1ecd0>, <environments.cube2.Cube2State object at 0x7f72ada1ee10>, <environments.cube2.Cube2State object at 0x7f72ada1ef50>, <environments.cube2.Cube2State object at 0x7f72ada220f0>]",23.669639348983765,811092
<environments.cube2.Cube2State object at 0x7f72adb755f0>,"[3, 10, 5, 3, 6, 11, 1, 6, 10, 3]","[<environments.cube2.Cube2State object at 0x7f72adb755f0>, <environments.cube2.Cube2State object at 0x7f72ada22280>, <environments.cube2.Cube2State object at 0x7f72ada223c0>, <environments.cube2.Cube2State object at 0x7f72ada22500>, <environments.cube2.Cube2State object at 0x7f72ada22640>, <environments.cube2.Cube2State object at 0x7f72ada22780>, <environments.cube2.Cube2State object at 0x7f72ada228c0>, <environments.cube2.Cube2State object at 0x7f72ada22a00>, <environments.cube2.Cube2State object at 0x7f72ada22b40>, <environments.cube2.Cube2State object at 0x7f72ada22c80>, <environments.cube2.Cube2State object at 0x7f72ada22dc0>]",26.00271224975586,811092
<environments.cube2.Cube2State object at 0x7f72adb75690>,"[4, 0, 8, 1, 8, 1, 7, 0, 8, 10, 6, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75690>, <environments.cube2.Cube2State object at 0x7f72ada22f50>, <environments.cube2.Cube2State object at 0x7f72ada240f0>, <environments.cube2.Cube2State object at 0x7f72ada24230>, <environments.cube2.Cube2State object at 0x7f72ada24370>, <environments.cube2.Cube2State object at 0x7f72ada244b0>, <environments.cube2.Cube2State object at 0x7f72ada245f0>, <environments.cube2.Cube2State object at 0x7f72ada24730>, <environments.cube2.Cube2State object at 0x7f72ada24870>, <environments.cube2.Cube2State object at 0x7f72ada249b0>, <environments.cube2.Cube2State object at 0x7f72ada24af0>, <environments.cube2.Cube2State object at 0x7f72ada24c30>, <environments.cube2.Cube2State object at 0x7f72ada24d70>]",28.881612062454224,1051092
<environments.cube2.Cube2State object at 0x7f72adb75730>,"[11, 5, 0, 8, 0, 10, 7, 11, 0, 9, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75730>, <environments.cube2.Cube2State object at 0x7f72ada24f00>, <environments.cube2.Cube2State object at 0x7f72ada280a0>, <environments.cube2.Cube2State object at 0x7f72ada281e0>, <environments.cube2.Cube2State object at 0x7f72ada28320>, <environments.cube2.Cube2State object at 0x7f72ada28460>, <environments.cube2.Cube2State object at 0x7f72ada285a0>, <environments.cube2.Cube2State object at 0x7f72ada286e0>, <environments.cube2.Cube2State object at 0x7f72ada28820>, <environments.cube2.Cube2State object at 0x7f72ada28960>, <environments.cube2.Cube2State object at 0x7f72ada28aa0>, <environments.cube2.Cube2State object at 0x7f72ada28be0>, <environments.cube2.Cube2State object at 0x7f72ada28d20>]",29.45581078529358,1051092
<environments.cube2.Cube2State object at 0x7f72adb757d0>,"[9, 6, 10, 3, 4, 2, 9, 7, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb757d0>, <environments.cube2.Cube2State object at 0x7f72ada28eb0>, <environments.cube2.Cube2State object at 0x7f72ada2b050>, <environments.cube2.Cube2State object at 0x7f72ada2b190>, <environments.cube2.Cube2State object at 0x7f72ada2b2d0>, <environments.cube2.Cube2State object at 0x7f72ada2b410>, <environments.cube2.Cube2State object at 0x7f72ada2b550>, <environments.cube2.Cube2State object at 0x7f72ada2b690>, <environments.cube2.Cube2State object at 0x7f72ada2b7d0>, <environments.cube2.Cube2State object at 0x7f72ada2b910>, <environments.cube2.Cube2State object at 0x7f72ada2ba50>]",25.969869136810303,811092
<environments.cube2.Cube2State object at 0x7f72adb75870>,"[6, 9, 3, 6, 11, 4, 2, 7, 1, 8, 5, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75870>, <environments.cube2.Cube2State object at 0x7f72ada2bbe0>, <environments.cube2.Cube2State object at 0x7f72ada2bd20>, <environments.cube2.Cube2State object at 0x7f72ada2be60>, <environments.cube2.Cube2State object at 0x7f72ada2bfa0>, <environments.cube2.Cube2State object at 0x7f72ada2d140>, <environments.cube2.Cube2State object at 0x7f72ada2d280>, <environments.cube2.Cube2State object at 0x7f72ada2d3c0>, <environments.cube2.Cube2State object at 0x7f72ada2d500>, <environments.cube2.Cube2State object at 0x7f72ada2d640>, <environments.cube2.Cube2State object at 0x7f72ada2d780>, <environments.cube2.Cube2State object at 0x7f72ada2d8c0>, <environments.cube2.Cube2State object at 0x7f72ada2da00>]",29.752148151397705,1051092
<environments.cube2.Cube2State object at 0x7f72adb75910>,"[8, 6, 4, 3, 7, 5, 9, 11, 7, 7, 9, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75910>, <environments.cube2.Cube2State object at 0x7f72ada2db90>, <environments.cube2.Cube2State object at 0x7f72ada2dcd0>, <environments.cube2.Cube2State object at 0x7f72ada2de10>, <environments.cube2.Cube2State object at 0x7f72ada2df50>, <environments.cube2.Cube2State object at 0x7f72ada300f0>, <environments.cube2.Cube2State object at 0x7f72ada30230>, <environments.cube2.Cube2State object at 0x7f72ada30370>, <environments.cube2.Cube2State object at 0x7f72ada304b0>, <environments.cube2.Cube2State object at 0x7f72ada305f0>, <environments.cube2.Cube2State object at 0x7f72ada30730>, <environments.cube2.Cube2State object at 0x7f72ada30870>, <environments.cube2.Cube2State object at 0x7f72ada309b0>]",30.459861993789673,1051092
<environments.cube2.Cube2State object at 0x7f72adb759b0>,"[0, 6, 9, 6, 8, 3, 4, 10, 6, 3]","[<environments.cube2.Cube2State object at 0x7f72adb759b0>, <environments.cube2.Cube2State object at 0x7f72ada30b40>, <environments.cube2.Cube2State object at 0x7f72ada30c80>, <environments.cube2.Cube2State object at 0x7f72ada30dc0>, <environments.cube2.Cube2State object at 0x7f72ada30f00>, <environments.cube2.Cube2State object at 0x7f72ada320a0>, <environments.cube2.Cube2State object at 0x7f72ada321e0>, <environments.cube2.Cube2State object at 0x7f72ada32320>, <environments.cube2.Cube2State object at 0x7f72ada32460>, <environments.cube2.Cube2State object at 0x7f72ada325a0>, <environments.cube2.Cube2State object at 0x7f72ada326e0>]",23.928869485855103,811092
<environments.cube2.Cube2State object at 0x7f72adb75a50>,"[1, 10, 2, 6, 9, 2, 7, 8, 5, 9, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75a50>, <environments.cube2.Cube2State object at 0x7f72ada32870>, <environments.cube2.Cube2State object at 0x7f72ada329b0>, <environments.cube2.Cube2State object at 0x7f72ada32af0>, <environments.cube2.Cube2State object at 0x7f72ada32c30>, <environments.cube2.Cube2State object at 0x7f72ada32d70>, <environments.cube2.Cube2State object at 0x7f72ada32eb0>, <environments.cube2.Cube2State object at 0x7f72ada35050>, <environments.cube2.Cube2State object at 0x7f72ada35190>, <environments.cube2.Cube2State object at 0x7f72ada352d0>, <environments.cube2.Cube2State object at 0x7f72ada35410>, <environments.cube2.Cube2State object at 0x7f72ada35550>, <environments.cube2.Cube2State object at 0x7f72ada35690>]",30.192406177520752,1051092
